User Type,Longest Trip (sec),Shortest Trip (sec),Total Trip Time (sec),Longest Trip (min),Shortest Trip (min),Total Trip Time (min),Most Common Start,Most Common End,Number of Rides
Subscriber,2292,266,21280,38,4,354,1049,1049,25
Customer,12881,198,114543,214,3,1909,1049,1049,36
